"","prey","svspp","seacat","year","CMT","lci.CMT","uci.CMT","mean.cb","lci.cb","uci.cb"
"1064","all",23,"SPRING",2007,5324.32166069753,0.0234769307056421,36044.9022367442,0.142624443831079,6.22809006548806e-07,0.876810652832426
"1065","all",23,"SPRING",2008,10472.6316031438,1.51988411926421e-17,150573.494362146,0.205755563969084,2.54452872364904e-22,2.64975044147001
"1066","all",23,"SPRING",2009,8354.05805679882,2.61595247212882,54718.1320614505,0.10930805564522,3.74704623399835e-05,0.65900470238359
"1067","all",23,"SPRING",2010,8141.45988116016,0.0169962231730932,61718.5823606119,0.178525968812632,3.59858799176903e-07,1.46307639602129
"1068","all",23,"SPRING",2011,11649.9830188939,1.67365264141985e-08,93790.6762316802,0.230970885394065,2.88747937495195e-13,2.07833662194216
"1069","all",23,"SPRING",2012,10495.5374649538,2.18163360428293e-07,116416.022263735,0.28458990014386,5.77502663449734e-12,3.21579896515753
"1070","all",23,"SPRING",2013,8220.36189291363,5.3010982291095e-06,63971.9824165928,0.325941039953153,1.7570614125304e-10,2.74713227726233
"1071","all",23,"SPRING",2014,4236.27543621883,0.797775747917699,35506.9079804369,0.171094898484443,3.85808655823689e-05,1.30549068537776
"1072","all",23,"SPRING",2015,5400.48406722041,19.4617821352052,24265.5913942143,0.154969796278042,0.000495233778478055,0.757876948545749
"1073","all",23,"SPRING",2016,4146.37309967946,5.27703841146541e-08,29776.5234678064,0.150251941060011,1.62577096371973e-12,1.20325515407521
"1074","all",23,"SPRING",2017,5338.6387915316,6.46256234616144,34660.665859318,0.0754858713288339,7.86500767618395e-05,0.573958147560822
"1075","all",23,"SPRING",2018,5817.31307923492,2.0610859205139,28310.7597910371,0.100889695442773,2.94214110473259e-05,0.459159563013284
"1076","all",23,"SPRING",2019,7765.74216561975,1.55010969874379,34807.8403340723,0.120371590876504,2.61316321761265e-05,0.457085548286324
"1077","all",23,"SPRING",2020,752.077067889263,78.1777637223782,2522.67496639349,0.1756876967095,0.0164250997666106,0.597856236199713
"1078","all",23,"SPRING",2021,6405.48377564326,2.45967518464079,27975.9019865704,0.158335624775912,4.43676137274704e-05,0.635556225125218
"1079","all",28,"FALL",1973,NA,0,0,NA,0,0
"1080","all",28,"FALL",1974,NA,0,0,NA,0,0
"1081","all",28,"FALL",1975,NA,0,0,NA,0,0
"1082","all",28,"FALL",1976,NA,0,0,NA,0,0
"1083","all",28,"FALL",1977,0,0,0,0,0,0
"1084","all",28,"FALL",1978,2189.18046551003,0.0267504608504375,10080.6510634372,0.050636063165169,5.35933980101149e-07,0.212840717717071
"1085","all",28,"FALL",1979,24508.7491533284,0.0725768206761579,227656.412205834,0.732524522333237,2.32978369409548e-06,6.75453557079399
"1086","all",28,"FALL",1980,0,0,0,0,0,0
"1087","all",28,"FALL",1981,NA,0,0,NA,0,0
"1088","all",28,"FALL",1982,NA,0,0,NA,0,0
"1089","all",28,"FALL",1983,NA,0,0,NA,0,0
"1090","all",28,"FALL",1984,0,0,0,0,0,0
"1091","all",28,"FALL",1985,3865.37787916759,220.218060043587,16801.9436962887,0.188884700499002,0.0125509912670415,0.881812033033293
"1092","all",28,"FALL",1986,2982.52728718587,49.7581846440577,11479.2831501094,0.224446865546135,0.00365381447137727,0.907993066430493
"1093","all",28,"FALL",1987,654.921823393699,8.81944183121941,3208.16182512914,0.0811419946469457,0.00159057146580432,0.385806502953039
"1094","all",28,"FALL",1988,4965.56558824032,2.59735416729826,27355.0664851213,0.497381142812911,0.000262048836435549,2.40044775619888
"1095","all",28,"FALL",1989,2377.48033342452,19.6891999125155,7432.03269670671,0.192242175346086,0.00155609240319011,0.743463622454497
